provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Cheesecake Factory,null,Lemon Herb Roasted Chicken,null,600,38.0,null,null,null,null,0,null,null,65,"['Keto']"
Cheesecake Factory,null,Grilled Chicken Salad (without croutons),null,500,27.0,null,null,null,null,12,null,null,42,"['Keto']"
Cheesecake Factory,null,Chicken Piccata,null,600,27.0,null,null,null,null,8,null,null,73,"['Keto']"
Cheesecake Factory,null,Chloes Vegan Cheesecake,null,360,20.0,null,null,null,null,45,null,null,6,"['Vegan']"
Cheesecake Factory,null,Vegan Cobb Salad,null,600,32.0,null,null,null,null,30,null,null,36,"['Vegan']"
Cheesecake Factory,null,Vegan Pasta Primavera,null,520,12.0,null,null,null,null,75,null,null,16,"['Vegan']"
Cheesecake Factory,null,Seared Tuna Tataki,null,320,14.0,null,null,null,null,11,null,null,32,"['Gluten-Free']"
Cheesecake Factory,null,Gluten-Free Pasta Primavera,null,520,12.0,null,null,null,null,75,null,null,16,"['Gluten-Free']"
Cheesecake Factory,null,Paneer Tikka Masala,null,830,46.0,null,null,null,null,59,null,null,62,"['Gluten-Free']"
Cheesecake Factory,null,Grilled Salmon,null,580,39.0,null,null,null,null,0,null,null,48,"['Paleo']"
Cheesecake Factory,null,Cauliflower Pizza,null,230,12.0,null,null,null,null,29,null,null,9,"['Paleo']"
Cheesecake Factory,null,Grilled Chicken Salad,null,440,24.0,null,null,null,null,12,null,null,42,"['Paleo']"
Cheesecake Factory,null,Mediterranean Grilled Chicken Salad,null,570,30.0,null,null,null,null,30,null,null,46,"['Mediterranean']"
Cheesecake Factory,null,Chicken Souvlaki,null,670,27.0,null,null,null,null,42,null,null,60,"['Mediterranean']"
Cheesecake Factory,null,Greek Salad,null,480,28.0,null,null,null,null,20,null,null,30,"['Mediterranean']"
Cheesecake Factory,null,Grilled Chicken Avocado Club,null,1450,75.0,null,null,null,null,92,null,null,71,"['Balanced-Meal']"
Cheesecake Factory,null,Thai Coconut Lime Chicken,null,660,30.0,null,null,null,null,62,null,null,51,"['Balanced-Meal']"
Cheesecake Factory,null,Faroe Island Salmon,null,670,44.0,null,null,null,null,0,null,null,55,"['Balanced-Meal']"
Trader Joes,null,Keto Bread,null,70,4.0,null,null,null,null,6,null,null,4,"['Keto']"
Trader Joes,null,Cauliflower Fried Rice,null,70,4.0,null,null,null,null,10,null,null,4,"['Keto']"
Trader Joes,null,Chicken Thighs with Mushroom Sauce,null,400,30.0,null,null,null,null,10,null,null,26,"['Keto']"
Trader Joes,null,Vegan Tikka Masala,null,310,12.0,null,null,null,null,45,null,null,12,"['Vegan']"
Trader Joes,null,Cauliflower Gnocchi,null,250,8.0,null,null,null,null,44,null,null,4,"['Vegan']"
Trader Joes,null,Vegan Burrito,null,300,6.0,null,null,null,null,52,null,null,12,"['Vegan']"
Trader Joes,null,Gluten-Free Pasta Bolognese,null,300,12.0,null,null,null,null,36,null,null,15,"['Gluten-Free']"
Trader Joes,null,Beef Stroganoff,null,420,28.0,null,null,null,null,24,null,null,26,"['Gluten-Free']"
Trader Joes,null,Cheese Pizza,null,200,9.0,null,null,null,null,22,null,null,10,"['Gluten-Free']"
Trader Joes,null,Spicy Italian Sausage and Pepper,null,280,20.0,null,null,null,null,5,null,null,21,"['Paleo']"
Trader Joes,null,Chicken and Arugula Salad,null,320,18.0,null,null,null,null,10,null,null,28,"['Paleo']"
Trader Joes,null,Chicken and Vegetable Soup,null,90,4.0,null,null,null,null,8,null,null,8,"['Paleo']"
Trader Joes,null,Falafel,null,210,10.0,null,null,null,null,24,null,null,8,"['Mediterranean']"
Trader Joes,null,Spinach and Greek Yogurt Dip,null,50,3.0,null,null,null,null,4,null,null,2,"['Mediterranean']"
Trader Joes,null,Chicken Shawarma,null,310,20.0,null,null,null,null,8,null,null,21,"['Mediterranean']"
Trader Joes,null,Chicken Caesar Salad,null,350,20.0,null,null,null,null,14,null,null,27,"['Balanced-Meal']"
Trader Joes,null,Orange Chicken,null,290,15.0,null,null,null,null,28,null,null,14,"['Balanced-Meal']"
Trader Joes,null,Beef Bulgogi,null,250,18.0,null,null,null,null,5,null,null,20,"['Balanced-Meal']"